Companies	Details
	
Representative	Mr. Isphanyar M. Bhandara
Designation	Chief Executive Officer
Company	Murree Brewery Company Limited
Address	"National Park Road , ,Rawalpindi"
Phone	051-5567041-47
Phone 2	111-324-111
Fax	051-5584420 - 5565461
Date of Listing	01/01/1970
Email	murreebrewery@cyber.net.pk
URL	www.murreebrewery.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Abrar Hasan
Designation	Chief Executive Officer
Company	National Foods Limited
Address	"12/CL-6, Claremont Road , Civil Lines,Karachi"
Phone	021-35662687-35670585
Phone 2	021-35670793
Fax	021-35684870-35671225
Date of Listing	11/07/1989
Email	info@nfoods.com
URL	www.nfoods.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Samer Edmond Chided
Designation	Chief Executive/Managing Director
Company	Nestle Pakistan Limited
Address	"308, Upper Mall , ,Lahore"
Phone	042-111-637-853
Phone 2	
Fax	042-35789303-4
Date of Listing	17/06/1980
Email	Ali.sadozai@pk.nestle.com
URL	www.nestle.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Farooq Ahmed
Designation	Chairman & Chief Executive
Company	Nirala MSR Foods Limited
Address	"503-E, Johar Town , ,Lahore"
Phone	042-35170336-7
Phone 2	
Fax	042-35817593
Date of Listing	04/01/1991
Email	jadeed@fascom.com
URL	www.shakarganj.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Rasikh Elahi
Designation	Chief Executive Officer
Company	At-Tahur Limited
Address	"182-Abu Bakar Block , New Garden Town,Lahore"
Phone	042-111-666-647
Phone 2	042-3584-5901-08
Fax	042-35845525
Date of Listing	30/07/2018
Email	info@at-tahur.com
URL	www.at-tahur.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Atif
Designation	Chief Executive
Company	Quice Food Industries Limited
Address	"WS-7, Madina Palace, Mezzanine Floor , Faran C.H.S., Dhoraji Colony,Karachi"
Phone	021-34857177-9
Phone 2	
Fax	021-34857176
Date of Listing	02/08/1994
Email	info@quice.com.pk
URL	www.quice.com.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Usman Qayyum
Designation	Chief Executive & Managing Director
Company	Rafhan Maize Products Company Limited
Address	"Rakh Canal , East Road,Faisalabad"
Phone	041-8540121-23
Phone 2	
Fax	041-8711016-8502197
Date of Listing	29/07/1987
Email	corporate@rafhanmaize.com
URL	www.rafhanmaize.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. M. Haroon Qassim
Designation	Chief Executive
Company	Shield Corporation Limited
Address	"Office No.1007, 10th Floor, Business Avenue , Block-6, P.E.C.H.S., Shahrah-e-Faisal,Karachi"
Phone	021-34385003-4
Phone 2	
Fax	021-34556344
Date of Listing	26/05/1976
Email	companysecretary@shield.com.pk
URL	www.shield.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Humayun A. Shahnawaz
Designation	Chief Executive
Company	Shezan International Limited
Address	"56-Bund Road , ,Lahore"
Phone	042-37466900-04
Phone 2	
Fax	042-37466899-37466895
Date of Listing	24/07/1989
Email	shezan@brain.net.pk
URL	www.shezan.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Faisal Hussain
Designation	Chief Executive Officer
Company	The Organic Meat Company Limited
Address	"Plot No. 257, Sector 24, , Korangi Industrial Area,,Karachi"
Phone	021-35059969
Phone 2	021-35079969
Fax	
Date of Listing	03/08/2020
Email	info@tomcl.net
URL	www.tomcl.net
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Syed Shahid Ali
Designation	Chief Executive
Company	Treet Corporation Limited
Address	"72-B, Kot Lakhpat , Industrial Area,Lahore"
Phone	042-35830881
Phone 2	042-35122296-35156567
Fax	042-35215825-35114127
Date of Listing	07/02/1978
Email	usman.saleem@treetonline.com
URL	www.treetonline.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Farrukh
Designation	Chief Executive Officer
Company	Unity Foods Limited
Address	"Unity Tower , 8-C, P.E.C.H.S. Block-6,Karachi"
Phone	021-34373605-7
Phone 2	
Fax	021-34373608
Date of Listing	01/02/1994
Email	info@unityfoods.pk
URL	www.unityfoods.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Amir R. Paracha
Designation	Chief Executive Officer
Company	Unilever Pakistan Foods Limited
Address	"Avari Plaza , Fatima Jinnah Road,Karachi"
Phone	021-35660062-9
Phone 2	021-35687317
Fax	021-35681705-35674968
Date of Listing	03/06/1998
Email	
URL	www.unilever.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Mubashir Hasan Ansari
Designation	Chief Executive Officer
Company	ZIL Limited
Address	"Ground Floor, Bahria Complex-III , M.T. Khan Road,Karachi"
Phone	021-35630251-60
Phone 2	
Fax	021-35630266
Date of Listing	25/02/1987
Email	info@zil.com.pk
URL	www.zil.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammad Tousif Paracha
Designation	Chief Executive
Company	Balochistan Glass Limited
Address	"Dime Centre, B.C-4, 3rd Floor , Block-9, Clifton,Karachi"
Phone	021-35377976-80
Phone 2	0302-8239869
Fax	
Date of Listing	03/03/1982
Email	s.arif@balochistanglass.com
URL	www.balochistanglass.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Nadeem Khalid
Designation	Chief Executive Officer
Company	Frontier Ceramics Limited
Address	"29-Jamrud Industrial Estate, , Jamrud Road Peshawar,Peshawar"
Phone	091-5891470-5891477
Phone 2	091-5891479-8528568
Fax	091-5815980-5830290
Date of Listing	27/04/1992
Email	info@forte.com.pk
URL	www.forte.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Masroor Ahmad Khan
Designation	Chief Executive Officer
Company	Ghani Global Glass Limited
Address	"10-N, , Model Town Ext.,Lahore"
Phone	042-35161424-5
Phone 2	
Fax	042-35160393
Date of Listing	27/05/2015
Email	info@ghaniglobal.com
URL	www.ghaniglobal.com
Registrar	Vision Consulting Limited
	
Representative	Mr. Imtiaz Ahmad Khan
Designation	Chief Executive Officer
Company	Ghani Glass Limited
Address	"40-L, Model Town , ,Lahore"
Phone	042-111-949-949
Phone 2	042-35203975
Fax	042-35160314-35172263
Date of Listing	27/09/1994
Email	info@ghaniglass.com
URL	www.ghaniglass.com
	
Representative	Mr. Anwaar Ahmed Khan
Designation	Chief Executive Officer
Company	Ghani Value Glass Limited
Address	"40-L, Block , Model Town Extn.,Lahore"
Phone	042-35218946-35203975
Phone 2	111-949-949
Fax	042-35172263-3 5160314
Date of Listing	02/04/1969
Email	info@ghanivalueglass.com
URL	www.ghanivalueglass.com
	
Representative	Mr. Munawar Ali S. Kassim
Designation	Chief Executive
Company	Karam Ceramics Limited
Address	"BC-6, Block-5, K.D.A. Scheme-5 , Kehkashan, Clifton,Karachi"
Phone	021-35865561-64
Phone 2	
Fax	021-35871082-35865571
Date of Listing	26/01/1993
Email	karam@cyber.net.pk
URL	www.karamceramics.com
Registrar	THK Associates (Private) Limited
	
Representative	Malik Saleem Ismail
Designation	Chief Executive
Company	Regal Ceramics Limited
Address	"4th Floor, Salam Chambers , 22 Link Mcleod Road,Lahore"
Phone	042-37243417-37227085
Phone 2	
Fax	042-37354450
Date of Listing	27/07/1988
Email	
URL	
Registrar	
	
Representative	Syed Masood Abbas Jaffrey
Designation	Chief Executive Officer
Company	Shabbir Tiles & Ceramics Limited
Address	"15th Milestone National Highway , Landhi,Karachi"
Phone	021-38183610-13
Phone 2	
Fax	021-38183615
Date of Listing	20/06/1979
Email	info@stile.com.pk
URL	www.stile.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Omer Baig
Designation	Managing Director
Company	Tariq Glass Industries Limited
Address	"128-J, , Model Town,,Lahore"
Phone	042-35857695-96-97
Phone 2	042-111-343-434
Fax	042-35857692-93
Date of Listing	10/09/1984
Email	info@tariqglass.com
URL	www.tariqglass.com
Registrar	Shemas International (Pvt.) Limited
	
Representative	Mr. Abdul Waheed
Designation	President & Chief Executive
Company	Askari General Insurance Company Limited
Address	"3rd Floor, AWT Plaza , The Mall,Rawalpindi"
Phone	051-9028101-2
Phone 2	051-9272423
Fax	051-9272424
Date of Listing	10/03/1996
Email	info@agico.com.pk
URL	www.agico.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammad Ali Zeb
Designation	Chief Executive / Managing Director
Company	Adamjee Insurance Company Limited
Address	"Adamjee House, 80/A, Block E-1, , Main Boulevard, Gulberg-III,Lahore"
Phone	042-35772960 to79
Phone 2	
Fax	042-35772868
Date of Listing	09/01/1961
Email	info@adamjeeinsurance.com
URL	www.adamjeeinsurance.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Jehanzeb Zafar
Designation	Chief Executive Officer
Company	Askari Life Assurance Company Limited
Address	"Office No.1104, 11th Floor at Emerald Tower , Plot No.G-19, Block-5, KDA Improvement Scheme No.5,Clifton,Karachi"
Phone	021-111225-275
Phone 2	
Fax	021-35630429
Date of Listing	07/09/1994
Email	info@askarilife.com
URL	www.askarilife.com
Registrar	THK Associates (Private) Limited
	
Representative	Mian Umer Mansha
Designation	Cheif Executive Officer
Company	Adamjee Life Assurance Company Limited
Address	"3rd and 4th Floor, Adamjee House, , I. I. Chundrigar Road,,Karachi"
Phone	021-111115433
Phone 2	
Fax	021-8630011
Date of Listing	04/03/2022
Email	info@adamjeelife.com
URL	www.adamjeelife.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Zain ul Haq Qureshi
Designation	Chief Executive Officer
Company	Asia Insurance Company Limited
Address	"Asia House: 19 C/D, L Block , Gulberg III, Main Ferozpur Road,Lahore"
Phone	042-35865574-78
Phone 2	
Fax	042-35865579
Date of Listing	07/12/1980
Email	info@asiainsurance.com.pk
URL	www.asiainsurance.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Babar Mahmood Mirza
Designation	Chief Executive
Company	Atlas Insurance Limited
Address	"63/A, Block-XX, Phase-III (Commercial) , Defence Housing Authority,Lahore"
Phone	042-37132611-18
Phone 2	
Fax	042-37132627
Date of Listing	23/04/1957
Email	"info@atlasinsurance.com.pk,info@ail.atlas.pk"
URL	www.ail.atlas.pk/
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Asadullah Khan
Designation	Chief Executive
Company	Business & Industrial Insurance Company Ltd.
Address	"2nd Floor, 72-West, Benazir Plaza , Jinnah Avenue, Blue Area,Islamabad"
Phone	2278957-58
Phone 2	2872112
Fax	2271914
Date of Listing	24/03/1996
Email	info@biic.com.pk
URL	www.biic.com.pk
Registrar	
	
Representative	Mr. Mohammad Hussain Hirji
Designation	Chief Executive
Company	Century Insurance Company Limited
Address	"11th Floor, Lakson Square Building # 3 , Sarwar Shaheed Road,Karachi"
Phone	"021-35657445-9, 111-111-717"
Phone 2	021-35671603-35671629
Fax	021-35671665
Date of Listing	08/03/1989
Email	info@cicl.com.pk
URL	www.cicl.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Naim Anwar
Designation	Managing Director & Chief Executive Officer
Company	Crescent Star Insurance Limited
Address	"Nadir House, 2nd Floor , I.I.Chundrigar Road,Karachi"
Phone	021-32415471-3- 32415521
Phone 2	021-111-274-000
Fax	021-32415474-75
Date of Listing	09/10/1957
Email	info@cstarinsurance.com
URL	www.cstarinsurance.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Hasanali Abdullah
Designation	Managing Director/ Chief Executive
Company	EFU General Insurance Limited
Address	"5th Floor, EFU House , M. A. Jinnah Road,Karachi"
Phone	021-32313471-90
Phone 2	
Fax	021-32310450
Date of Listing	03/10/1949
Email	info@efuinsurance.com
URL	www.efuinsurance.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Taher G. Sachak
Designation	Chief Executive/Managing Director
Company	EFU Life Assurance Limited
Address	"EFU Life House , Plot No.112, 8th East Street, Phase-I. D.H.A.,Karachi"
Phone	021-111-338-111
Phone 2	
Fax	021-34373167
Date of Listing	30/10/1995
Email	info@efulife.com
URL	www.efulife.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Naved yunus
Designation	Managing Director / Chief Executive
Company	East West Insurance Company Limited
Address	"Office No. 401-404, Block B, 4th Floor, , Lakson Square Building No. 3, Sarwar Shaheed Road,Karachi"
Phone	35630400-411
Phone 2	
Fax	35630414-415
Date of Listing	07/12/1983
Email	info@eastwestinsurance.com.pk
URL	www.eastwestinsurance.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Shabbir Gulamali
Designation	Chief Executive
Company	Habib Insurance Company Limited
Address	"1st Floor, State Life Bldg. No.6 , Habib Square, M. A. Jinnah Road,Karachi"
Phone	021-32424030-38-39
Phone 2	021-111-030-303
Fax	021-32421600
Date of Listing	03/10/1949
Email	
URL	www.habibinsurance.net
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Tahir Masaud
Designation	Chief Executive Officer
Company	IGI Holdings Limited
Address	"7th Floor, The Forum, Suit # 701-713 , G-20, Block-9, Khayaban-e-Jami, Clifton,Karachi"
Phone	021-35301737
Phone 2	021-111-308-308
Fax	021-35301772-35301706
Date of Listing	22/12/1987
Email	iqra.sajjad@igi.com.pk
URL	www.igi.com.pk/holdings
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Syed Hyder Ali
Designation	Chief Executive Officer
Company	IGI Life Insurance Limited
Address	"The Forum, 7th Floor, Suite No.701-713 , G-20, Block-9, Khayaban-e-Jami, Clifton,Karachi"
Phone	021-35360040
Phone 2	021-111-111-711
Fax	021-35290042
Date of Listing	13/06/1995
Email	service-pakistan@igi.com.pk
URL	www.igilife.com.pk
	
Representative	Mr. Hasan Khan
Designation	Chief Executive/Managing Director
Company	Jubilee General Insurance Company Limited
Address	"2nd Floor, Jubilee Insurance House , I. I. Chundrigar Road,Karachi"
Phone	021-32416022-26
Phone 2	021-111-654-111
Fax	021-32416728-32438738
Date of Listing	10/10/1955
Email	info@jubileegeneral.com.pk
URL	www.jubileegeneral.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Javed Ahmed
Designation	Managing Director/Chief Executive
Company	Jubilee Life Insurance Company Limited
Address	"CU Building, 74/1- A ,Lalazar , Moulvi Tamizuddin Khan Road,Karachi"
Phone	021-35611071-75
Phone 2	021-35611802-08
Fax	021-35610959-35610805
Date of Listing	16/07/1996
Email	info@jubileelife.com
URL	www.jubileelife.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Farmanullah Zarkoon
Designation	Acting Chief Executive Officer
Company	Pakistan Reinsurance Company Limited
Address	"PRC Towers , 32-A, Lalazar Drive , M.T. Khan Road,Karachi"
Phone	021-99202908-15
Phone 2	
Fax	021-99202921-22
Date of Listing	20/02/1959
Email	prcl@pakre.org.pk
URL	www.pakre.org.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Moiz Ali
Designation	Managing Director & Chief Executive Officer
Company	PICIC Insurance Limited
Address	"3rd Floor, Nadir House , I.I. Chunddrigar Road,Karachi"
Phone	021-32410781
Phone 2	
Fax	021-32410782
Date of Listing	22/09/2006
Email	info@picicinsurance.com
URL	www.picicinsurance.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Nadeem Maqbool
Designation	Cheif Executive
Company	Premier Insurance Limited
Address	"5th Floor, State Life Building No. 2-A, , Wallace Road, Off: I. I. Chundrigar Road,Karachi"
Phone	021-32416331-4
Phone 2	
Fax	021-32416572
Date of Listing	25/09/1952
Email	info@pil.com.pk
URL	www.pil.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Ch. Mazhar Zahoor
Designation	Chief Executive Officer
Company	The Pakistan General Insurance Company Limited
Address	"Gardee Trust Building , Thoroton Road,Lahore"
Phone	042-37223224-37352182
Phone 2	042-37324404
Fax	042-37230895
Date of Listing	04/10/1995
Email	info@pgi.com.pk
URL	www.pgi.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Syed Sabur Rehman
Designation	Chief Executive
Company	Progressive Insurance Company Limited
Address	"Office No.502, Park Avenue, 24-A, PECHS , Block-6, Main Shahrah-e-Faisal,Karachi"
Phone	021-34551045 - 34553146
Phone 2	
Fax	021-34520655
Date of Listing	26/03/1990
Email	
URL	
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. A. Razzak Ahmed
Designation	Chief Executive & Managing Director
Company	Reliance Insurance Company Limited
Address	"Reliance Insurance House , 181-A,Sindhi Muslim Co-operative Housing Society,Karachi"
Phone	021-34539415-17
Phone 2	
Fax	021-34539412
Date of Listing	27/04/1983
Email	ric-re@relianceins.com & reli-ins@cyber.net.pk
URL	www.relianceins.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	
Designation	Chief Executive Officer
Company	Shaheen Insurance Company Limited
Address	"10th Floor, Shaheen Complex , M.R. Kayani Road,Karachi"
Phone	"021-32630370-75, 32213950-51"
Phone 2	
Fax	021-32626674
Date of Listing	22/09/1996
Email	info@shaheeninsurance.com
URL	www.shaheeninsurance.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Saeed-ur-Rehman
Designation	Chief Executive
Company	Standard Insurance Company Limited
Address	"2nd Floor, Standard Insurance House , I.I. Chundrigar Road,Karachi"
Phone	021-32427559-32412971
Phone 2	
Fax	021-32419307
Date of Listing	03/10/1968
Email	
URL	
Registrar	
	
Representative	Mr. Zahir Muhammad Sadiq
Designation	Chief Executive/Managing Director
Company	Silver Star Insurance Company Limited
Address	"Silver Star House , 5-Bank Square,Lahore"
Phone	37324488-7355614
Phone 2	37231449-37237518-19
Fax	37229966
Date of Listing	09/09/1987
Email	info@ssic.com.pk
URL	www.ssic.com.pk
Registrar	
	
Representative	Mr. Muhammad Aminuddin
Designation	Chief Executive Officer
Company	TPL Insurance Limited
Address	"11th & 12th Floor, Centrepoint , Off: Shaheed-e-Millat Expressway, Near KPT Interchange,Karachi"
Phone	021-34322555
Phone 2	"021-111-000-300, 45000"
Fax	021-35316031 - 32
Date of Listing	22/09/2011
Email	info@tplinsurance.com
URL	www.tplinsurance.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammad Akram Shahid
Designation	Chief Executive Officer
Company	The United Insurance Company of Pakistan Limited
Address	"2nd Floor, Suit No.204, Madina City Mall , Abdullah Haroon Road,Karachi"
Phone	021-35621460-61-62
Phone 2	021-35221803-4
Fax	021-35621459
Date of Listing	07/06/1960
Email	info@theunitedinsurance.com
URL	www.theunitedinsurance.com/new/
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Gohar Ayhub Khan
Designation	Chief Executive
Company	The Universal Insurance Company Limited
Address	"Universal Insurance House , 63-Shahrah-e-Quaid-e-Azam,Lahore"
Phone	042-37353458- 37353453
Phone 2	042-37324244-37324194
Fax	042-37230326-37353209
Date of Listing	14/04/1969
Email	info@uic.com.pk
URL	www.uic.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Miss. Tara Uzra Dawood
Designation	Chief Executive
Company	786 Investments Limited
Address	"G3, Ground Floor, B.R.R. Tower , Hassan Ali Street Off: I.I. Chundrigar Road,Karachi"
Phone	021-32603751-55
Phone 2	021-111-329-663
Fax	
Date of Listing	02/02/1993
Email	info@786investments.com
URL	www.786investments.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Muhammad Shahid Ali Habib
Designation	Chief Executive Officer
Company	Arif Habib Limited
Address	"Arif Habib Centre , 23, M.T. Khan Road,Karachi"
Phone	021-32460717-19
Phone 2	111-245-111
Fax	"021-32416072, 32429653"
Date of Listing	31/01/2007
Email	secretariat@arifhabibltd.com
URL	www.arifhabibltd.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Wajahat Malik
Designation	Acting President & Chief Executive
Company	Apna Microfinance Bank Limited
Address	"K-4/3 & 4/4 , Ch. Khaliquzzaman Road, Ghizri,Karachi"
Phone	021-35865352-55
Phone 2	
Fax	021-35865017
Date of Listing	24/01/2005
Email	rafat.abbas@apnabank.com.pk
URL	www.apnabank.com.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Nur Qadir
Designation	Chief Executive
Company	Al-Mal Securities & Services Limited
Address	"406, 4th Floor, Trade Centre , I.I. Chundrigar Road,Karachi"
Phone	32211325-6
Phone 2	
Fax	32211337
Date of Listing	17/08/1994
Email	al-mal@cyber.net.pk
URL	
Registrar	
	
Representative	Mr. Abdul Aziz Anis
Designation	Chief Executive Officer
Company	BIPL Securities Limited
Address	"5th Floor, Trade Centre , I.I. Chundrigar Road,Karachi"
Phone	021-111-222-000
Phone 2	
Fax	021-32630202
Date of Listing	04/08/2008
Email	biplho@biplsec.com
URL	www.biplsec.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Irfan Ahmad
Designation	Chief Executive Officer
Company	CALCORP Limited
Address	"D-131/A, Block-4 , Clifton,Karachi"
Phone	021-38771130
Phone 2	
Fax	
Date of Listing	18/03/1993
Email	cosec@calcorp.com.pk
URL	www.calcorp.com.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Mohammad Shamoon Chaudry
Designation	Chief Executive Officer
Company	Cyan Limited
Address	"4th Floor, Dawood Center , M.T. Khan Road,Karachi"
Phone	021-35681491-35684019
Phone 2	021-35689339
Fax	021-35680218
Date of Listing	11/11/1960
Email	wahaj.hussain@cyanlimited.com
URL	www.cyanlimited.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Mohammad Shamoon Chaudry
Designation	Chief Executive Officer
Company	Dawood Hercules Corporation Limited
Address	"Dawood Centre, 11th Floor , M.T. Khan Road,Karachi"
Phone	021-35686001
Phone 2	
Fax	021-35644147
Date of Listing	22/06/1971
Email	info@dawoodhercules.com
URL	www.dawoodhercules.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Abdul Aziz Habib
Designation	Chief Executive Officer
Company	Dawood Equities Limited
Address	"17th Floor, Saima Trade Towers-A , I.I. Chundrigar Road,Karachi"
Phone	021-32271985
Phone 2	021-32275058
Fax	021-32275086
Date of Listing	14/04/2008
Email	salman@dawoodequities.com
URL	www.dawoodequities.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Mujtaba Haider Khan
Designation	Chief Executive Officer
Company	Dawood Lawrencepur Limited
Address	"3rd Floor, Dawood Center , M.T. Khan Road,Karachi"
Phone	021-35632200-9
Phone 2	021-35686001-16
Fax	021-35633970
Date of Listing	12/05/1953
Email	info.reon@dawoodhercules.com
URL	www.dawoodlawrencepur.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Saad Iqbal
Designation	Chief Executive Officer
Company	EFG Hermes Pakistan Limited
Address	"Office No.904, 9th Floor, Emerald Tower, , Plot No.G-19, Block-5, Clifton,Karachi"
Phone	021-35141100-04
Phone 2	
Fax	021-35141109
Date of Listing	20/03/2008
Email	shahid.kamal@efg-hermes.com
URL	www.efghermespakistan.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	
Designation	Chief Executive Officer
Company	Escorts Investment Bank Limited
Address	"Alfalah Building, First Floor, Sector-B , Bahria Town, Mohlanwal,Lahore"
Phone	042-35341845-6
Phone 2	
Fax	
Date of Listing	10/11/1996
Email	Info@escortsbank.net
URL	www.escortsbank.net
	
Representative	Mian Ehsan ul Haq
Designation	Chief Executive Officer
Company	First Capital Equities Limited
Address	"First Capital House, 96-B/1, Lower Ground Floor, , M. M. Alam Road, Gulberg-III,,Lahore"
Phone	042-35778217-18
Phone 2	
Fax	
Date of Listing	01/01/1970
Email	info@firstcapital.com.pk
URL	www.firstcapital.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Mohsin Ali
Designation	President & Chief Executive
Company	First Credit and Investment Bank Limited
Address	"2nd Floor, SIDCO Avenue Centre , Stratchen Road,Karachi"
Phone	021-35658750-52
Phone 2	021-35670452
Fax	021-35689331-35686310
Date of Listing	21/08/2008
Email	info@fcibank.com.pk
URL	www.fcibank.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mrs. Aamna Taseer
Designation	Chairman & Chief Executive
Company	First Capital Securities Corporation Limited
Address	"First Capital House, 96-B/1, Lower Ground Floor, , M. M. Alam Road, Gulberg-III,,Lahore"
Phone	042-35778217-18
Phone 2	
Fax	
Date of Listing	29/11/1994
Email	
URL	www.pacepakistan.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Rafique Dawood
Designation	Chief Executive Officer
Company	First Dawood Investment Bank Limited
Address	"18th Floor, B.R.R. Tower , Hassan Ali Street, Off I.I. Chundrigar Road,Karachi"
Phone	021-111-329-663
Phone 2	021-32602401-06
Fax	021-32271912
Date of Listing	27/12/1994
Email	fdib@firstdawood.com
URL	www.firstdawood.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Ali Aslam Malik
Designation	Chief Executive
Company	First National Equities Limited
Address	"Room # 1007, 10th Floor, New Stock Exchange Building , Stock Exchange Road,Karachi"
Phone	021-32472119-32472014
Phone 2	
Fax	021-32472332
Date of Listing	01/11/2004
Email	info@fnetrade.com
URL	www.fnetrade.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Muhammad Asif
Designation	Chief Executive Officer
Company	Invest Capital Investment Bank Limited
Address	"Flat # 2, Plot # 38-C, , 22nd Commercial Street, Phase-II, Ext., DHA,Karachi"
Phone	021-35894022
Phone 2	
Fax	
Date of Listing	19/01/1993
Email	info@investcapital.com
URL	www.icibl.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Naveed M. Sheikh
Designation	Chief Executive Officer
Company	Imperial Limited
Address	"Ground Floor, Ismail Aiwan-e-Science Building , 205 Ferozepur Road,Lahore"
Phone	"042-35758970-3, 35751308"
Phone 2	
Fax	042-35763247
Date of Listing	13/08/2008
Email	info@imperialsugars.com
URL	www.imperialsugars.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Suleman Lalani
Designation	Chief Executive Officer
Company	Jahangir Siddiqui & Co. Ltd.
Address	"20th Floor, The Centre, Plot No.28, SB-5 , Abdullah Haroon Road, Saddar,Karachi"
Phone	021-111-574-111
Phone 2	021-32799005
Fax	021-35632575
Date of Listing	28/09/1993
Email	company.secretary@js.com
URL	www.js.com
Registrar	CDC Share Registrar Services Limited
	
Representative	
Designation	
Company	Jahangir Siddiqui & Co. Limited (Class A - Preference Shares)
Address	"20th Floor, The Centre, Plot No. 28, SB-5 , Abdullah Haroon Road, Saddar,Karachi"
Phone	021-111574111
Phone 2	
Fax	021-35632575
Date of Listing	30/07/2021
Email	
URL	www.js.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Kamran Nasir
Designation	Chief Executive Officer
Company	JS Global Capital Limited
Address	"17th Floor, The Centre, Plot No.28, SB-5 , Abdullah Haroon Road, Saddar,Karachi"
Phone	021-111-574-111
Phone 2	021-32799005
Fax	"021-32800167, 32800263"
Date of Listing	07/02/2005
Email	jsgcl.ho@js.com
URL	www.jsgcl.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Hasnain Raza Nensey
Designation	Chief Executive Officer
Company	JS Investments Limited
Address	"The Centre, 19th Floor, Plot No.28,SB-5 , Abdullah Haroon Road, Saddar,Karachi"
Phone	"021-38402096, 0800-00887"
Phone 2	111-222-626
Fax	
Date of Listing	24/04/2007
Email	ir@jsil.com
URL	www.jsil.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Saqib Saleem
